No.,KPI,分類,単位,推定範囲,最小,最大,出典URL,参考企業名,遅延浸透効果,回帰係数,t値,p値,自由度修正済み決定係数
71,内部監査実施率（計画比）,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/corporate/sustainability/management/structure.html,Panasonic,0,0.1,0.1,,
72,ESG連動型役員報酬比率,G,％,0.0～50.0,0,50,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
73,データ漏えいインシデント件数,G,件,0～10,0,10,https://www.panasonic.com/global/corporate/sustainability/social/report.html,Panasonic Connect,0,0.1,0.1,,
74,サイバーセキュリティ訓練受講率,G,％,80.0～100.0,80,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_employees_E.pdf,Sony,0,0.1,0.1,,
75,株主総会出席率,G,％,70.0～90.0,70,90,https://global.toyota/en/sustainability/report/sdb/sdb23_en.pdf,Toyota,0,0.1,0.1,,
76,株主議決権行使率,G,％,60.0～90.0,60,90,https://www.toray.com/global/sustainability/activity/governance/,Toray,0,0.1,0.1,,
77,取締役報酬総額,G,百万円,500～2000,500,2000,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
78,内部統制監査件数,G,件,10～50,10,50,https://www.nec.com/en/global/sustainability/management/nec.html,NEC,0,0.1,0.1,,
79,コード・オブ・コンダクト研修受講率,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/corporate/sustainability/management/structure.html,Panasonic,0,0.1,0.1,,
80,取締役会自己評価実施率,G,％,70.0～100.0,70,100,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2024_governance_E.pdf,Sony,0,0.1,0.1,,
81,税務デューデリジェンス実施率,G,％,80.0～100.0,80,100,https://www.panasonic.com/global/energy/sustainability/report/Integrated_report2024_en.pdf,Panasonic Energy,0,0.1,0.1,,
